Time: Wed Sep 20 2023 03:00:43 GMT+0600 (Bangladesh Standard Time) |success:Successfully updated the discount for the book!|URL: 127.0.0.1/books/updateDiscount/65081da77565f7b3c3f61483
Time:Wed Sep 20 2023 05:10:24 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/viewCart| [error: CastError: Cast to ObjectId failed for value "{ _id: '' }" (type Object) at path "_id" for model "users"]
Time:Wed Sep 20 2023 05:10:32 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/viewCart| [error: CastError: Cast to ObjectId failed for value "{ _id: '6509d4873da0c674a3e696' }" (type Object) at path "_id" for model "users"]
Time:Wed Sep 20 2023 05:13:32 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/viewCart| [error: CastError: Cast to ObjectId failed for value "{ _id: '' }" (type Object) at path "_id" for model "users"]
Time:Wed Sep 20 2023 05:15:02 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/viewCart| [error: CastError: Cast to ObjectId failed for value "{ _id: '' }" (type Object) at path "_id" for model "users"]
Time:Wed Sep 20 2023 05:17:03 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/viewCart| [error: CastError: Cast to ObjectId failed for value "{ _id: '' }" (type Object) at path "_id" for model "users"]
Time:Wed Sep 20 2023 05:17:04 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/viewCart| [error: CastError: Cast to ObjectId failed for value "{ _id: '' }" (type Object) at path "_id" for model "users"]
Time:Wed Sep 20 2023 05:18:05 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/viewCart| [error: CastError: Cast to ObjectId failed for value "{ _id: '' }" (type Object) at path "_id" for model "users"]
Time:Wed Sep 20 2023 05:18:07 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/viewCart| [error: CastError: Cast to ObjectId failed for value "{ _id: '' }" (type Object) at path "_id" for model "users"]
Time:Wed Sep 20 2023 05:18:12 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/viewCart| [error: CastError: Cast to ObjectId failed for value "{ _id: '6509d4873da0c674a3e696' }" (type Object) at path "_id" for model "users"]
Time:Wed Sep 20 2023 05:18:16 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/viewCart| [error: CastError: Cast to ObjectId failed for value "{ _id: '6509d4873da0c674a3e6963' }" (type Object) at path "_id" for model "users"]
Time:Wed Sep 20 2023 06:23:02 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/transactions/viewTransaction| [error: MongoServerError: Cannot do exclusion on field wallets_balance in inclusion projection]
Time:Wed Sep 20 2023 06:23:34 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/transactions/viewTransaction| [error: MongoServerError: Cannot do exclusion on field author in inclusion projection]
Time:Wed Sep 20 2023 06:24:12 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/transactions/viewTransaction| [error: MongoServerError: Cannot do exclusion on field rating in inclusion projection]
Time:Wed Sep 20 2023 11:28:00 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/addtoCart| [error: TypeError: Cannot read properties of undefined (reading 'quantity')]
Time:Wed Sep 20 2023 11:30:58 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/addtoCart| [error: TypeError: Cannot read properties of undefined (reading 'stock')]
Time:Wed Sep 20 2023 11:31:23 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/addtoCart| [error: TypeError: Cannot read properties of undefined (reading 'quantity')]
Time:Fri Oct 06 2023 14:43:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/addtoCart| [error: ReferenceError: userID is not defined]
Time:Fri Oct 06 2023 15:06:57 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/addtoCart| [error: ReferenceError: cartItem is not defined]
Time:Fri Oct 06 2023 15:07:00 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/addtoCart| [error: ReferenceError: cartItem is not defined]
Time:Fri Oct 06 2023 15:07:18 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/addtoCart| [error: TypeError: Cannot read properties of null (reading 'books')]
Time:Fri Oct 06 2023 15:07:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/addtoCart| [error: TypeError: Cannot read properties of null (reading 'books')]
Time:Fri Oct 06 2023 15:07:57 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/addtoCart| [error: ValidationError: books: Cast to embedded failed for value "65186588351ab8f1034231f2" (type string) at path "books" because of "ObjectParameterError"]
Time:Fri Oct 06 2023 15:07:59 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/addtoCart| [error: ValidationError: books: Cast to embedded failed for value "65186588351ab8f1034231f2" (type string) at path "books" because of "ObjectParameterError"]
